epoch,accuracy,learning_rate,loss,top3_acc,val_accuracy,val_loss,val_top3_acc
0,0.2222222238779068,0.0010000000474974513,2.361424207687378,0.5347222089767456,0.1666666716337204,1.7471976280212402,0.5555555820465088
1,0.25,0.0010000000474974513,2.1364314556121826,0.6041666865348816,0.2777777910232544,1.6557981967926025,0.8333333134651184
2,0.3194444477558136,0.0010000000474974513,1.9267077445983887,0.6805555820465088,0.2777777910232544,1.573104739189148,0.9444444179534912
3,0.3055555522441864,0.0010000000474974513,1.7525876760482788,0.7291666865348816,0.5555555820465088,1.504723072052002,0.8333333134651184
4,0.4166666567325592,0.0010000000474974513,1.5487061738967896,0.8333333134651184,0.4444444477558136,1.386559009552002,0.9444444179534912
5,0.4444444477558136,0.0010000000474974513,1.5985543727874756,0.8333333134651184,0.4444444477558136,1.4223823547363281,0.8333333134651184
6,0.4027777910232544,0.0010000000474974513,1.6331967115402222,0.8402777910232544,0.5555555820465088,1.3444665670394897,0.8888888955116272
7,0.4305555522441864,0.0010000000474974513,1.5009361505508423,0.9027777910232544,0.5555555820465088,1.3141026496887207,1.0
8,0.4097222089767456,0.0010000000474974513,1.4645055532455444,0.8819444179534912,0.3888888955116272,1.34588623046875,1.0
9,0.4861111044883728,0.0010000000474974513,1.3438130617141724,0.8958333134651184,0.6111111044883728,1.194373607635498,1.0
10,0.4166666567325592,0.0010000000474974513,1.3059718608856201,0.9444444179534912,0.5555555820465088,1.2578562498092651,0.9444444179534912
11,0.5416666865348816,0.0010000000474974513,1.1512575149536133,0.9444444179534912,0.6111111044883728,1.149666428565979,1.0
12,0.4305555522441864,0.0010000000474974513,1.1667001247406006,0.9861111044883728,0.6111111044883728,1.0592142343521118,1.0
13,0.5625,0.0010000000474974513,1.033997654914856,0.9861111044883728,0.5555555820465088,1.0461610555648804,1.0
14,0.5763888955116272,0.0010000000474974513,1.047477126121521,0.9861111044883728,0.6666666865348816,1.0965991020202637,1.0
15,0.5694444179534912,0.0010000000474974513,0.9747750163078308,0.9930555820465088,0.7222222089767456,1.1066938638687134,1.0
16,0.4791666567325592,0.0010000000474974513,1.2522509098052979,0.9583333134651184,0.2777777910232544,1.5694310665130615,0.6666666865348816
17,0.4027777910232544,0.0010000000474974513,1.5590033531188965,0.8263888955116272,0.3333333432674408,1.5394624471664429,0.6666666865348816
18,0.4930555522441864,0.0010000000474974513,1.3351058959960938,0.8541666865348816,0.3333333432674408,1.4425753355026245,0.6666666865348816
19,0.4583333432674408,0.0010000000474974513,1.3855642080307007,0.8541666865348816,0.5,1.2607862949371338,1.0
20,0.5208333134651184,0.0005000000237487257,1.1230896711349487,0.9444444179534912,0.5555555820465088,1.199143409729004,1.0
21,0.5486111044883728,0.0005000000237487257,1.1160311698913574,0.9652777910232544,0.5555555820465088,1.1159812211990356,1.0
